,Nombre,Foto,Valor,Posicion,Edad,Club,Escudo,Nacionalidad,Bandera,Partidos_jugados,Goles,Asistencias,Min_gol,Min_jugados,Goles_encajados,Partidos_cero
62,Raphaël Varane,https://img.a.transfermarkt.technology/portrait/small/164770-1598301905.jpg?lm=1,60,Defensa central,28,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,"['Francia', 'Martinica']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/207.png?lm=1520611569']",24,,1,,1.911,,
63,Jan Oblak,https://img.a.transfermarkt.technology/portrait/small/121483-1599986864.jpg?lm=1,60,Portero,29,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,['Eslovenia'],['https://tmssl.akamaized.net/images/flagge/verysmall/155.png?lm=1520611569'],40,,,,3.600,49,12
64,Alisson,https://img.a.transfermarkt.technology/portrait/small/105470-1595945929.jpg?lm=1,60,Portero,29,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,['Brasil'],['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569'],38,,,,3.420,26,21
65,Lionel Messi,https://img.a.transfermarkt.technology/portrait/small/28003-1631171950.jpg?lm=1,60,Extremo derecho,34,París Saint-Germain FC,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,"['Argentina', 'España']","['https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569']",26,7,11,307,2.152,,
66,Eduardo Camavinga,https://img.a.transfermarkt.technology/portrait/small/640428-1582629458.jpg?lm=1,55,Mediocentro,19,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,"['Francia', 'Congo']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/85.png?lm=1520611569']",34,2,1,613,1.226,,
67,Jamal Musiala,https://img.a.transfermarkt.technology/portrait/small/580195-1601299443.jpg?lm=1,55,Mediocentro ofensivo,19,Bayern Múnich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,"['Alemania', 'Inglaterra']","['https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525', 'https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569']",32,6,6,258,1.546,,
68,Reece James,https://img.a.transfermarkt.technology/portrait/small/472423-1636537984.jpg?lm=1,55,Lateral derecho,22,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1628160548,['Inglaterra'],['https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569'],26,6,7,294,1.762,,
69,Moussa Diaby,https://img.a.transfermarkt.technology/portrait/small/395516-1642608355.jpg?lm=1,55,Extremo izquierdo,22,Bayer 04 Leverkusen,https://tmssl.akamaized.net/images/wappen/verysmall/15.png?lm=1403163785,"['Francia', 'Malí']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/105.png?lm=1520611569']",35,16,9,185,2.959,,
70,Fabián Ruiz,https://img.a.transfermarkt.technology/portrait/small/350219-1545230107.jpg?lm=1,55,Mediocentro,25,SSC Nápoles,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],31,6,4,390,2.338,,
71,Youri Tielemans,https://img.a.transfermarkt.technology/portrait/small/249565-1626861318.jpg?lm=1,55,Mediocentro,24,Leicester City,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,"['Bélgica', 'RD del Congo']","['https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/193.png?lm=1520611569']",36,7,3,417,2.916,,
72,Virgil van Dijk,https://img.a.transfermarkt.technology/portrait/small/139208-1620651710.jpg?lm=1,55,Defensa central,30,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,"['Países Bajos', 'Surinam']","['https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/161.png?lm=1520611569']",38,3,1,1.150,3.450,,
